case_id,description,Intersection_num,case_no.,unit_1_direction,unit_1_movement,unit_2_direction,unit_2_movement,unit_at_fault,crash_type
16-215190,"11300 Edgemere is a six lane, two way roadway traveling East and

FA CT ORS &
CONDITIONS

est, divided.by a center median, with a mandatory left turning
lane and a right turning lane. Unit 3 was traveling West bound
on Edgemere on the inside lane next to the left turning lane,
and'waiting on a red light. Unit 2 was traveling West bound on
Edgemere behind unit 3 and'waiting on a red light. Unit 1 was
traveling West bound on Edgemere behind unit 2 and 3. Driver of
nit 1 failed to control speed and struck unit 2 on the rear,
causing unit 2 to be pushed on to unit 3. There were no
reported injuries at the scene and no witnesses.",1,11,WB,TH,WB,TH,unit 1,rear end
16-222222,"river of U—3 called the Telephone Reporting Unit to report a
crash on the listed date and time. Driver of U—3 stated that he
as on Edgemere Blvd headed'west on the far left lane to make a
left turn onto George Dieter Dr. Driver of U—3 stated that
drivers U—2 and U—1 were behind U—3 on the same lane and on
Edgemere Blvd. Driver of U—3 stated that there was a vehicle in
front of U—3 waiting to make the left turn and he was at a stop
hen driver of U—1 rear ended U—2 causing U—2 to rear end U—3.
ﬂriver of U—3 stated that there were no injuries to report.
""river of U—3 was given a report number. Diagram.is approximate.",1,12,WB,TH,WB,TH,unit 1,rear end
16-292167,"river of unit 2 contacted the Telephone Reporting Unit to
advise of the following accident that occurred on 10/16/2016 at
approximately 1845 HRS in El Paso, Texas. Driver of unit 2
advised that he was on the right lane on Edgemere Blvd traveling
eastbound and unit 1 was behind unit 2 also traveling eastbound
on the right lane. Driver of unit 2 stated that when the light
turned green, he kept on driving but at some point, traffic
hecame slow so driver of unit 2 stated that he came to a

corrplete stop when unit 1 crashed into unit 2 from behind.
E river of unit 2 stated that the damage to unit 2 was to the

E rear burrper and that the damage to unit 1 was to the front

Q: urrper. Information was exchanged by both parties at the scene.

DI

ca o on scene investigation was conducted. Report is being filed
for insurance purposes.",1,13,EB,TH,EB,TH,unit 1,rear end
16-326150,"river of Unit 2 came in to the PHRC CRC and stated that on the
listed date and time at the address of occurrence Unit 2 was
stopped at a red traffic light and'was rear ended.by Unit 1.
""river of Unit 2 is complaining of pain to her neck but refused
EMS. No witnesses reported",1,14,WB,TH,WB,TH,unit 1,rear end
17-009233,"3300 George Dieter is a 5 lane roadway that has 3 lanes
northbound and 2 lanes southbound and is separated.by a raised
-dian. Unit 1 was travel north following Unit 2 due to Unit 2
towing Unit 3. Driver of Unit 2 advised that the stop light was
red and'was at a complete stop. Driver of Unit 2 further stated
that the left protected turn arrow turned green for for traffic
to turn left onto Edgermere and the other two lights for traffic
to travel north remained red. Driver of Unit 2 advised Unit 1
then struck the back for his unit and caused the collision.
3 river of Unit 1 advised that he did see a green arrow for
traffic to turn left onto Edgemere and thought the other lights

G

turned green as well. Driver of Unit 1 stated that he noticed
nit 2 was not moving but was unable to stop in time. Driver of
nit 1 was cited for the incident and sent on is way. There were
no witness for this collision and one person was transported to
Mel Sol Medical for her injuries.",1,15,NB,TH,NB,TH,unit 1,rear end
17-024248,"11300 Edgemere is a two way six lane roadway with two westbound
lanes, one mandatory right turn lane, and one mandatory left
turn; two eastbound lanes. 3300 George Dieter is a two way five
lane roadway with two northbound lanes, one mandatory left turn
lane; two southbound lanes. Unit #2 was traveling eastbound on
Edgemere in the inside lane and Unit #1 was traveling westbound
on Edegemere and attempting to turn southbound onto George
ﬂieter. Unit #1 failed to yield right of way turning left
subsequently causing the front left to collide with the left
side of Unit #2. There were no reported injuries and no
independent witnesses located.",1,16,WB,LT,EB,TH,unit 1,left turn
17-044153,"11300 Edgemere is a two way six lane roadway with two westbound
lanes, one mandatory right turn lane, and one mandatory left
turn; two eastbound lanes. 3300 George Dieter is a two way five
lane roadway with two northbound lanes, one mandatory left turn
lane; two southbound lanes. Unit #2 was traveling eastbound on
Edgemere in the inside lane and Unit #1 was traveling westbound
on Edegemere and attempting to turn southbound onto George
ﬂieter. Unit #1 failed to yield right of way turning left
subsequently causing the front left to collide with the left
side of Unit #2. There were no reported injuries and no
independent witnesses located.",1,17,WB,LT,EB,TH,unit 1,left turn
17-066258,"3300 George Dieter is a two way six lane roadway with two
southbound lanes and one mandatory left turn lane; two
northbound lanes and a mandatory left turn lane. 11300 Edgemere
is a two six lane roadway with two eastbound lanes and one
:-ndatory left turn lane; two westbound lanes and a mandatory
left turn lane. Unit #1 was traveling southbound on George
wieter and in the mandatory left turn lane and attempting to
turn eastbound onto Edgemere. Unit #2 was traveling northbound
in the inside lane on George Dieter. Unit #1 failed to yield the
right of way making a left turn subsequently causing the front
right of Unit #2 to collide with the back right of Unit #1.
There were no reported injuries and no independent witnesses
ere located.",1,18,SB,LT,NB,TH,unit 1,left turn
17-095189,"11200 EDGEMERE IS A 2-WAY, -""-1 LANE ROADWAY ‘WITH A MANDATORY LEFT
TURN LANE THAT RUNS FROM EAST TO WEST AND IS DIVIDED BY DOUBLE,
SOLID YELLOW LINES. UNIT 2 WAS TRAVELING E/B ON THE RIGHT LANE
* I WAS GOING TO TURN RIGHT ONTO GEORGE DIETER. UNIT 1 WAS
TRAVELING BEHIND UNIT 2. UNIT 1 COLLIDED INTO UNIT 2 THEN FLED
THE SCENE. DRIVER OF UNIT 2 COMPLAINED OF BACK PAIN. THERE WERE
I O WITNESSES ON SCENE.",1,19,EB,TH,EB,TH,unit 1,rear end
17-106064,"3300 block of George dieter is 4 lane north and south divided
roadway. A. mandatory left turn lane forms at the intersection
ith Edgemere. Driver 2 (Unit 2) was stopped northbound in the
-ndatory left turn lane at a red light. Driver 2 stated he was
stationary waiting on the signal light to make a left turn onto
11300 Edgemere. Unit 1 was approaching the intersection and
came up behind Unit 2 also intending to turn left. Unit 1
collided'with unit 2 and fled the scene failing to provide
information to unit 2. No witnesses or injuries were reported.",1,20,NB,TH,NB,TH,unit 1,rear end
17-161175,"3400 block of George Dieter at Edgemere is a four lane roadway

FA CT ORS &
CONDITIONS

-ant for north and south bound travel that is divided.by a
protected center median. Unit 2 was traveling south bound on
George Dieter in the left lane and had a solid green light at
the intersection. Unit 1 was traveling north bound on George
dieter in the left turn lane and failed to yield the right of

ay to oncoming south bound traffic. .As a result, Unit 2
collided into Unit 1. Unit 2 rear right passenger complained of
:'nor pain to her chest and right arm.however refused transport
hy EMS. Witness",1,21,NB,LT,SB,TH,unit 1,left turn
17-175162,"3400 George Dieter is a Five lane roadway divided.by a
protective median for northbound and southbound vehicular
travel. 11200 Edgemere is five lane roadway for eastbound and
estbound vehicular travel. Driver of Unit 2 stated that she was
traveling northbound on George Dieter and observed that she had
a green light. Driver of Unit 2 stated that she was on the lane
2 and was clearing the intersection when Rider of Unit 1 ran a
red light and subsequently collided her vehicle. Rider of Unit 1
stated that he was traveling eastbound on Edgemere on lane 2

hen he observed that he had a solid yellow light and turned red
as he was clearing the intersection and subsequently collided
ith Unit 2. No injuries or witnesses were reported",1,22,EB,TH,NB,TH,unit 1,right angle
17-205274,"11200 EDGEMERE IS A FOUR LANE MARKED ROADWAY A MADATORY LEFT
TURN LANE WEST BOUND AND AN OPTIONAL LEFT TURN LANE EAST BOUND.
3-""-100 GEORGE DIETER IS A FOUR LANE MARKED ROADWAY NORTH AND SOUTH

TH A MANDATORY LEFT TURN LANE NORTH AND SOUTH. UNIT 2 WAS
TRAVELING EAST IN THE LEFT LANE. UNIT 1 WAS TRAVELING WEST AND
I * ING A LEFT TURN ONTO GEORGE DIETER. UNIT 1 FAILED TO YIELD
THE RIGHT OF WAY TURNING LEFT AND COLLIDED INTO UNIT 2. NO

TNESSES OR INJURIES AT THE SCENE TO REPORT. DRIVER OF UNIT 1
AS CITED ACCORDINGLY.",1,23,WB,LT,EB,TH,unit 1,left turn
17-220077,"river of Unit 2 came in to the PHRC COLLISION REPORTING CENTER
and stated that on the listed date and time at the address of
occurrence Unit 2 was north on George Dieter and as he crossed
the intersection at Edgemere on a green traffic light, Unit 1
-de a right turn from.Edgemere to George Dieter north bound
ithout stopping (had red light) and collided into the front
right quarter panel of Unit 2 with her back left quarter panel.
nit 1 kept driving and'went into McDonalds and into the drive
through. Unit 2 went up to her and asked her why she had not
stopped and she asked'why. Driver of Unit 2 told her she had
struck Unit 2 and she said nothing happened. Driver of Unit 2
asked for her information but she refused to provide any of it.
""river of Unit 1 fled the scene again as soon as she got her

ND DH-‘I GRAM

:: order. No injuries or witnesses reported.",1,24,WB,RT,NB,TH,unit 1,side swipe
17-226247,"The 3400 block of George Dieter is a four lane roadway divided
hy a protective median, which travels North/South with the two
northbound lanes and two southbound lane with a mandatory left
turn lane and a mandatory right turn lane at the intersection of
Edgemere. Unit #2 was traveling southbound on George Dieter in
the mandatory right turn lane prior to the intersection of
Edgemere when Unit #1 who was also traveling southbound on
George Dieter behind Unit #2 failed to control speed and
collided with Unit #2’s rear end with its front end resulting in
the listed damage. No witnesses or injuries reported at the
scene. ***It should.be noted: that driver of Unit #2 advised
that driver of Unit #1 attempted to flee and'was followed and
hlocked in a secured.parking lot by Unit #2 and another vehicle
hich Unit #1 struck prior and failed to report remain at the
scene, reference",1,25,SB,TH,SB,TH,unit 1,rear end
17-238083,"3500 George Dieter has two lanes South bound.with a mandatory
left turn lane and two lanes north bound.with a mandatory left
turn lane. The 11200 block of Edgemere is a 4 lane marked
roadway that intersects with George Dieter, runs east and'west,
and also has one mandatory turn lane in each direction. Unit 2
as traveling in the outside lane on George Dieter southbound.
nit 1 was at the light turning westbound onto Edgemere from
George Dieter north. In the process of doing so, Unit 1 turned
left while Unit 2 was traveling straight subsequently colliding.
The driver of unit 2 stated that the light was green and the
driver of Unit 1 had a green light, however did not have the
protected arrow. The driver of Unit 1 stated that the driver of
nit 2 did not have a green light and took the red stop light.
ﬂue to conflicting stories and.witnesses not available The
officers could not determine who was at fault. The driver of
nit 1 was transported to Sierra providence East by rescue 33.
The Driver complained of neck and.back pain, but did not

5
E
5..
o
o
2
E.
E
E
E
2

sustain any major injuries.",1,26,NB,LT,SB,TH,unknown,left turn
17-240225,"rivers of Unit 1 and Unit 2 came in to the PHRC COLLISION
REPORTING CENTER and stated that on the listed date and time at
the address of occurrence Unit 2 had the green light traveling
south on George Dieter and Unit 1 was waiting to make a left
turn from.Edgemere to George Dieter south bound and an emergency
ehicle came up behind Unit 1 so she took the red light and.made
er left turn but collided into the back left quarter panel of
nit 2 with her front right. Driver of Unit 2 stated he did not
see the emergency vehicle as he was almest on the other side of
the intersection. No injuries or witnesses reported.",1,27,WB,LT,SB,TH,unit 1,left turn
17-279191,"11100 Edgemere is a two way roadway with marked lanes and
nprotected.median. Unit 2 was traveling east bound in the
'ddle lane of 11100 Edgemere and coming to stop due to a red

light at the intersecting block of 3400 George Dieter. Unit 1
as also traveling eastbound and switched lanes from.the far

right lane to the left turn only lane. While switching lanes
nit 1's right side struck into unit 2*s left back side causing
""nor damage. There were no witnesses and no injuries.",1,28,EB,TH,EB,TH,unit 1,side swipe
17-307266,"The 11200 block of Edgemere is a two way roadway with three
lanes traveling east bound.with one lane being a mandatory left
turn only lane and four lanes traveling west bound with two
lanes designated to make left turn lanes which is separated.by a
raised.median. It intersects with the 3300 block of George
wieter which is a two way roadway with three lanes traveling
north bound.with a mandatory left turn lane and three lanes
traveling south bound also with a mandatory left turn only lane,
hich are also separated.by a raised.median. Unit one was
traveling east bound on the 11200 block of Edgemere in the
number two lane and.was waiting for the signal light to turn
green. Unit two was also traveling east bound on the 11200 block
of Edgemere in the number one lane waiting to make a left hand
turn onto the 3300 block of George Dieter. Driver of Unit 2
stated the signal lights turned green which Unit 2 proceeded
forward into the intersection. Driver of Unit 2 stated as he was
I- ing the left hand turn, he felt an impact on the right side

5
E
5..
o
o
2
E.
E
E
E
2

of his vehicle and observed Unit one had collided with him.
""river of Unit 2 stated he then pulled over at which point Unit

1 fled the scene south bound on the 3300 block of George Dieter.
There were no witnesses or injuries at the scene.",1,29,EB,LT,EB,LT,unit 1,side swipe
18-017201,"11300 Edgemere is a four lane, two way roadway with a dividing
-dian for Eastbound and.Westbound travel. The driver of Unit #1
as traveling Westbound in the left lane of travel when he

 

ea
3
o
‘G
E

CONDITIONS

 

swerved into the right lane and struck the back of Unit #2. Unit
#2 was in the right lane of travel at a stop with Unit #3
directly in front of Unit #2. Unit #1 striking the back of Unit
#2 caused Unit #2 to move forward and strike the back of Unit
#3. Witnesses advised of the same. (Mblinar, George 915-226
-5306). No injuries were reported. The driver of Unit #1 was
subsequently placed into custody for driving while intoxicated
and his vehicle was impounded.",1,30,WB,TH,WB,TH,unit 1,rear end
18-061226,"3300 George Dieter is a four lane roadway divided by a curbed

 

ea
3
o
‘G
E

CONDITIONS

 

-dian, with mandatory left turning lanes, that travels South
hound and North bound. 11200 Edgemere is a four lane Roadway
divided.by a painted.median, with mandatory left turning lanes
that travel East bound and.West bound. Unit two was traveling
north bound on George Dieter in the mandatory left turn lane on
a green arrow, making a U—turn to travel south on George
ﬂieter. Unit one was traveling south bound on George Dieter in
the left lane, Unit one ran a red signal light, subsequently
collided with Unit two. There were no reported.witnesses. Driver
of Unit two complained of head and neck pain.",1,31,SB,TH,NB,LT,unit 1,rear end
18-116026,"3300 George Dieter is a four lane roadway that has two lanes

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

that run North and two lanes that run South. 3300 George Dieter
also has a designated.middle turning lane at the intersection of
11300 Edgemere. Unit 2 was traveling North on the 3300 block
of George Dieter approaching a red light at the intersection of
11300 Edgemere. .As Unit 2 was coming to a stop, Unit 1
proceeded to collide into the rear of Unit 2. Unit 2 stopped at
the light after the collision. After colliding with Unit 2,

nit 1 moved to the right lane and continued to travel East on
Edgemere.

E
E
5..
o
o
2
E.
E
E
E
2

Time Notiﬁed",1,32,NB,TH,NB,TH,unit 1,rear end
18-188102,"3400 George Dieter is a four lane roadway divided by a raised

 

ea
3
o
‘G
E

CONDITIONS

 

-dian with mandatory left turning lanes that travels North
hound and south bound. 11300 Edgemere is a four lane roadway
divided.by a painted.median with mandatory left turning lanes
that travels east bound and'west bound. Unit two was traveling
north bound on George Dieter in the right lane passing the
intersection. Unit one was traveling west bound on Edgemere, ran
a red signal light colliding with Unit two. Driver of unit two
along with right front passenger and right back passenger were
transported to Sierra Providence East by Rescue unit #33 with
injuries . Left back passenger of unit two was taken to Sierra
Providence East with minor injuries by a family member. No
occupants of unit one were transported. Driver of Unit one did

ave noticeable abrasions and cuts.",1,33,WB,TH,NB,TH,unit 1,right angle
18-200218,"3300 GEORGE DIETER is a two way north/south roadway with 2 lanes
north and 2 lanes south divided.by a raised.median. 11300

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

EDGENERE is a two way east/west roadway with 2 lanes east and 2
lanes west divided by a. raised median. Unit 2 was north on
George Dieter and stopped for a red traffic light and was rear
ended by Unit 1. No injuries or witnesses reported. Report
done at PHRC COLLISION REPORTING CENTER.",1,34,NB,TH,NB,TH,unit 1,rear end
18-255014,"3300 block of George Dieter Dr. is a two—way divided roadway

 

ea
3
o
‘G
E

CONDITIONS

 

ith two lanes for North bound traffic, two lanes for South
hound traffic and one mandatory left lane on each direction.
11300 block of Edgemere Blvd. is a two—way divided roadway with
two lanes for East bound traffic, two lanes for West bound
traffic, one mandatory left turning lane for each direction and
one mandatory right turning lane for each direction. Unit 2 was
traveling North bound on the right lane of 3300 George Dieter
Hr. when Unit 1 failed to control speed rear—ending Unit 2
causing the collision. Driver of Unit 2 complained of pain to
er neck and shoulders and.was transported to Sierra Providence
East Medical Center by R33. No other injuries were reported.",1,35,NB,TH,NB,TH,unit 1,rear end
18-332254,"THE 11300 BLOCK OF EDGEMERE IS A 2-WAY, -""-1 LANE ROADWAY THAT RUNS
FROM EAST TO WEST AND IS DIVIDED BY DOUBLE, SOLID YELLOW LINES.
3300 BLOCK OF GEORGE DIETER IS A 2-WAY, 5 LANE ROADWAY THAT RUNS
FROM NORTH TO SOUTH AND IS DIVIDED BY A RAISED MEDIAN AND
INTERSECTS WITH EDGEMERE. UNIT 1 WAS FACING SOUTH ON THE LEFT
TURN LANE OF GEORGE DIETER. UNIT 2 WAS TRAVELING N/B ON THE #2
LANE OF GEORGE DIETER. NORTH AND SOUTH TRAFFIC BOTH HAD A SOLID
GREEN. UNIT 1 PROCEEDED TO TURN LEFT ONTO EDGEMERE BUT FAILED TO
IELD RIGHT OF WAY TO UNIT 2. UNIT 1 AND UNIT 2 THEN COLLIDED.
g RIVER OF UNIT 1 COMPLAINED OF PAIN TO HER LEFT HIP, CHEST, AND
E ECK BUT REFUSED TRANSPORT.",1,36,SB,LT,NB,TH,unit 1,left turn
18-336083,"3400 George
wieter is a five lane, two way roadway for north bound and south
hound traffic, divided.by a raised.median. The driver of Unit
#2 was traveling east bound on Edgemere. The driver of Unit #1
as traveling west bound on Edgemere, attempting to turn south
hound onto George Dieter.The driver of Unit #2 stated that he
as traveling east bound on Edgemere and had a solid green light
hen the driver of Unit #1, who was traveling west bound on
Edgemere turned into his pathway, attempting to turn south bound
onto George Dieter, causing both units to collide.The driver of
nit #1 stated that she was traveling west bound on Edgemere and
ad a green arrow light, attempting to turn south bound onto
George Dieter. The driver of Unit #1 stated that the driver of
nit #2 ran a red light, failing to yield the right of way to
er, causing both units to collide. Due to conflicting stories,
the Officers could not determine which party was at fault for

E
E
5..
o
o
2
E.
E
E
E
2

causing the accident. Officers attempted to contact any
possible witnesses to accident, but met with negative results.
Io injuries were reported.",1,37,WB,LT,EB,TH,unit 1,left turn
18-348233,"3300 George Dieter is a four lane, two way roadway divided.by a
protected.median that travels Northbound and Southbound. 11300
Edgemere is a four lane, two way roadway divided.by a protected
-dian that travels Eastbound and'Westbound. Unit 2 was
traveling Northbound at the 3300 block of George Dieter on the
right lane. Unit 1 was traveling behind Unit 2. Unit 2 came to a

 

ea
3
o
‘G
E

CONDITIONS

 

complete stop at the intersection of George Dieter and Edgemere
due to a Red Signal Light. Unit 1 failed to control speed and
rear ended Unit 2. The driver of Unit 1 was subsequently
arrested for Driving While Intoxicated.",1,38,NB,TH,NB,TH,unit 1,rear end
18-360051,"3400 George Dieter is a five lane, two way roadway for north

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

hound and south bound traffic, divided.by a raised.median. The
driver of unit #2 was traveling south bound on George Dieter, on
the inner lane of traffic. The driver of unit #1 was traveling
south bound on George Dieter, on the inner lane of traffic. The
driver of unit #2 stated that she was stopped at the red light,
hen noticed unit #1 approaching her from.the rear, driving at a
igh rate of speed .The driver of Unit #1 stated that he
attempted to stop his vehicle at the red light but due to the

et roadway was unable to do so, subsequently striking unit #2.
ﬂuring the investigation, Officers determined that unit #1
failed to control his speed, subsequently striking unit #2 from
the rear. No injuries or witnesses were reported.",1,39,SB,TH,SB,TH,unit 1,rear end
18-365054,"3300 GEORGE DIETER is a 2 way north/south roadway with 2 lanes
north and 2 lanes south divided.by a raised.median. 11200

EDGEMERE is a 2 way east/west roadway divided by a raised

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

-dian. Unit 2 was stopped at the red traffic light south bound
on George Dieter and'was rear ended.by Unit 1. Driver of Unit 1
reported the incident at the PHRC COLLISION REPORTING CENTER.",1,40,SB,TH,SB,TH,unit 1,rear end
19-007116,"3300 GEORGE DIETER is a 2 way north/ south roadway divided by a
raised median. 11200 EDGEMERE is a 2 way east/west roadway

IEIEE3 CHM-‘G55

 

ea
3
o
‘G
E

CONDITIONS

 

divided.by a raised.median. Unit 2 was stopped at a red traffic
light facing south on George Dieter and'was rear ended.by Unit
1. No injuries or witnesses reported. Report taken at the PHRC
COLLISION REPORTING CENTER.",1,41,SB,TH,SB,TH,unit 1,rear end
